provider_id,provider_type,specialty_group,facility_id,years_in_practice,fte_status,panel_size,language_1,language_2,active_flag,provider_gender,provider_age_band
RBPV0001,NP,Primary care,PC05,16,Per diem,1717.0,English,,1,Man,55-64
RBPV0002,MD,Primary care,PC03,20,Full-time,1705.0,English,,1,Woman,45-54
RBPV0003,MD,Primary care,PC01,23,Full-time,1407.0,French,Spanish,1,Woman,35-44
RBPV0004,MD,Primary care,PC04,11,Full-time,1475.0,English,,1,Man,25-34
RBPV0005,MD,Primary care,PC02,14,Full-time,1452.0,Spanish,,1,Woman,35-44
RBPV0006,RN,Primary care,PC05,2,Part-time,,English,,1,Woman,45-54
RBPV0007,PA,Primary care,PC04,11,Part-time,1415.0,Mandarin,Mandarin,1,Man,35-44
RBPV0008,RN,Primary care,PC02,13,Part-time,,English,,1,Man,25-34
RBPV0009,NP,Primary care,PC05,9,Full-time,1229.0,English,,1,Woman,35-44
RBPV0010,DO,Primary care,PC02,16,Full-time,1035.0,Arabic,Spanish,1,Woman,55-64
RBPV0011,DO,Primary care,PC03,8,Full-time,1428.0,English,Spanish,1,Man,55-64
RBPV0012,NP,Primary care,PC02,17,Full-time,1448.0,Spanish,Spanish,1,Man,55-64
RBPV0013,MD,Primary care,PC02,11,Full-time,1742.0,Nepali,Spanish,1,Woman,25-34
RBPV0014,MD,Primary care,PC03,3,Full-time,1020.0,Nepali,,1,Man,55-64
RBPV0015,NP,Primary care,PC06,7,Full-time,1519.0,English,,1,Woman,45-54
RBPV0016,PA,Primary care,PC02,13,Full-time,1000.0,English,,1,Man,45-54
RBPV0017,RN,Primary care,PC02,7,Full-time,,English,,1,Woman,45-54
RBPV0018,NP,Primary care,PC06,1,Full-time,1447.0,Arabic,Arabic,1,Man,45-54
RBPV0019,NP,Primary care,PC05,1,Per diem,1164.0,English,Spanish,1,Man,35-44
RBPV0020,MD,Primary care,PC02,9,Full-time,1350.0,Nepali,,1,Man,25-34
RBPV0021,NP,Primary care,PC01,0,Full-time,1548.0,English,Mandarin,1,Man,45-54
RBPV0022,PA,Primary care,PC05,3,Full-time,1447.0,Mandarin,,1,Woman,65+
RBPV0023,NP,Primary care,PC04,20,Full-time,1459.0,English,,1,Woman,35-44
RBPV0024,NP,Primary care,PC03,2,Part-time,1876.0,English,,1,Man,25-34
RBPV0025,RN,Primary care,PC03,6,Per diem,,Arabic,,1,Woman,25-34
RBPV0026,NP,Primary care,PC01,7,Part-time,1471.0,French,,1,Woman,55-64
