county_fips,county_name,state_abbr,region,urban_rural_group,measure_id,measure_label,estimate_pct,low_ci,high_ci,release_year
01029,Cleburne,AL,South,Urban core,obesity_pct,Obesity among adults,33.6,32.7,34.5,2025
01031,Coffee,AL,South,Rural,obesity_pct,Obesity among adults,41.0,38.9,43.1,2025
01037,Coosa,AL,South,Small town,obesity_pct,Obesity among adults,27.4,25.2,29.6,2025
01039,Covington,AL,South,Rural,obesity_pct,Obesity among adults,35.5,34.1,36.9,2025
01041,Crenshaw,AL,South,Small town,obesity_pct,Obesity among adults,23.7,21.7,25.7,2025
01045,Dale,AL,South,Rural,obesity_pct,Obesity among adults,30.4,27.7,33.1,2025
01049,DeKalb,AL,South,Rural,obesity_pct,Obesity among adults,31.3,28.4,34.2,2025
01053,Escambia,AL,South,Urban core,obesity_pct,Obesity among adults,30.2,29.0,31.4,2025
01057,Fayette,AL,South,Rural,obesity_pct,Obesity among adults,37.9,35.9,39.9,2025
01061,Geneva,AL,South,Small town,obesity_pct,Obesity among adults,39.9,37.2,42.6,2025
01067,Henry,AL,South,Rural,obesity_pct,Obesity among adults,40.8,39.3,42.3,2025
01075,Lamar,AL,South,Rural,obesity_pct,Obesity among adults,49.5,46.7,52.3,2025
01077,Lauderdale,AL,South,Rural,obesity_pct,Obesity among adults,35.9,34.9,36.9,2025
01079,Lawrence,AL,South,Suburban,obesity_pct,Obesity among adults,33.3,30.7,35.9,2025
01001,Autauga,AL,South,Suburban,obesity_pct,Obesity among adults,39.7,37.9,41.5,2025
01003,Baldwin,AL,South,Urban core,obesity_pct,Obesity among adults,18.4,17.1,19.7,2025
01005,Barbour,AL,South,Small town,obesity_pct,Obesity among adults,31.9,29.0,34.8,2025
01007,Bibb,AL,South,Rural,obesity_pct,Obesity among adults,31.9,29.8,34.0,2025
01009,Blount,AL,South,Rural,obesity_pct,Obesity among adults,41.3,40.3,42.3,2025
01011,Bullock,AL,South,Rural,obesity_pct,Obesity among adults,42.7,39.8,45.6,2025
01023,Choctaw,AL,South,Suburban,obesity_pct,Obesity among adults,31.9,30.2,33.6,2025
01025,Clarke,AL,South,Small town,obesity_pct,Obesity among adults,37.6,34.5,40.7,2025
01027,Clay,AL,South,Small town,obesity_pct,Obesity among adults,44.3,42.0,46.6,2025
01033,Colbert,AL,South,Urban core,obesity_pct,Obesity among adults,31.4,29.4,33.4,2025
01035,Conecuh,AL,South,Rural,obesity_pct,Obesity among adults,41.2,38.4,44.0,2025
01043,Cullman,AL,South,Small town,obesity_pct,Obesity among adults,32.6,29.9,35.3,2025
01047,Dallas,AL,South,Rural,obesity_pct,Obesity among adults,41.5,38.6,44.4,2025
01051,Elmore,AL,South,Small town,obesity_pct,Obesity among adults,37.0,34.2,39.8,2025
01055,Etowah,AL,South,Rural,obesity_pct,Obesity among adults,28.3,26.4,30.2,2025
01059,Franklin,AL,South,Rural,obesity_pct,Obesity among adults,34.6,32.3,36.9,2025
01063,Greene,AL,South,Small town,obesity_pct,Obesity among adults,27.5,25.0,30.0,2025
01065,Hale,AL,South,Small town,obesity_pct,Obesity among adults,37.9,35.6,40.2,2025
01071,Jackson,AL,South,Small town,obesity_pct,Obesity among adults,35.3,32.9,37.7,2025
01073,Jefferson,AL,South,Small town,obesity_pct,Obesity among adults,23.5,22.0,25.0,2025
01085,Lowndes,AL,South,Rural,obesity_pct,Obesity among adults,43.1,40.3,45.9,2025
01087,Macon,AL,South,Suburban,obesity_pct,Obesity among adults,29.4,26.5,32.3,2025
01089,Madison,AL,South,Small town,obesity_pct,Obesity among adults,38.2,37.2,39.2,2025
01091,Marengo,AL,South,Rural,obesity_pct,Obesity among adults,27.3,24.3,30.3,2025
01095,Marshall,AL,South,Suburban,obesity_pct,Obesity among adults,31.3,28.5,34.1,2025
01097,Mobile,AL,South,Urban core,obesity_pct,Obesity among adults,31.9,29.2,34.6,2025
01099,Monroe,AL,South,Suburban,obesity_pct,Obesity among adults,33.2,31.2,35.2,2025
01107,Pickens,AL,South,Suburban,obesity_pct,Obesity among adults,33.3,32.1,34.5,2025
01109,Pike,AL,South,Small town,obesity_pct,Obesity among adults,34.5,32.5,36.5,2025
01113,Russell,AL,South,Small town,obesity_pct,Obesity among adults,41.7,39.7,43.7,2025
01115,St. Clair,AL,South,Rural,obesity_pct,Obesity among adults,37.8,35.1,40.5,2025
